"suburb","state","postcode"
"DARWIN CITY","NT","0800"
"ALAWA","NT","0810"
"BRINKIN","NT","0810"
"CASUARINA","NT","0810"
"COCONUT GROVE","NT","0810"
"JINGILI","NT","0810"
"LEE POINT","NT","0810"
"LYONS","NT","0810"
"MILLNER","NT","0810"
"MOIL","NT","0810"
"MUIRHEAD","NT","0810"
"NAKARA","NT","0810"
"NIGHTCLIFF","NT","0810"
"RAPID CREEK","NT","0810"
"TIWI","NT","0810"
"WAGAMAN","NT","0810"
"WANGURI","NT","0810"
"ANULA","NT","0812"
"KARAMA","NT","0812"
"LEANYER","NT","0812"
"MALAK","NT","0812"
"MARRARA","NT","0812"
"WULAGI","NT","0812"
"BAYVIEW","NT","0820"
"CULLEN BAY","NT","0820"
"FANNIE BAY","NT","0820"
"LARRAKEYAH","NT","0820"
"LUDMILLA","NT","0820"
"PARAP","NT","0820"
"STUART PARK","NT","0820"
"THE GARDENS","NT","0820"
"THE NARROWS","NT","0820"
"WINNELLIE","NT","0820"
"WOOLNER","NT","0820"
"ACACIA HILLS","NT","0822"
"BEES CREEK","NT","0822"
"BLACKMORE","NT","0822"
"COOMALIE CREEK","NT","0822"
"FLY CREEK","NT","0822"
"LAKE BENNETT","NT","0822"
"LAMBELLS LAGOON","NT","0822"
"LIVINGSTONE","NT","0822"
"LLOYD CREEK","NT","0822"
"MARRAKAI","NT","0822"
"MCMINNS LAGOON","NT","0822"
"MIDDLE POINT","NT","0822"
"ROBIN FALLS","NT","0822"
"SOUTHPORT","NT","0822"
"TUMBLING WATERS","NT","0822"
"WAGAIT BEACH","NT","0822"
"BERRIMAH","NT","0828"
"KNUCKEY LAGOON","NT","0828"
"DRIVER","NT","0830"
"DURACK","NT","0830"
"FARRAR","NT","0830"
"GRAY","NT","0830"
"MARLOW LAGOON","NT","0830"
"MOULDEN","NT","0830"
"WOODROFFE","NT","0830"
"YARRAWONGA","NT","0830"
"BAKEWELL","NT","0832"
"BELLAMACK","NT","0832"
"GUNN","NT","0832"
"JOHNSTON","NT","0832"
"ROSEBERY","NT","0832"
"ZUCCOLI","NT","0832"
"VIRGINIA","NT","0834"
"HOWARD SPRINGS","NT","0835"
"GIRRAWEEN","NT","0836"
"HERBERT","NT","0836"
"HUMPTY DOO","NT","0836"
"MANTON","NT","0837"
"NOONAMAH","NT","0837"
"BERRY SPRINGS","NT","0838"
"TUMBLING WATERS","NT","0838"
"COOLALINGA","NT","0839"
"DUNDEE BEACH","NT","0840"
"DUNDEE DOWNS","NT","0840"
"DUNDEE FOREST","NT","0840"
"DARWIN RIVER","NT","0841"
"FLY CREEK","NT","0841"
"BATCHELOR","NT","0845"
"ADELAIDE RIVER","NT","0846"
"PINE CREEK","NT","0847"
"KATHERINE","NT","0850"
"KATHERINE EAST","NT","0850"
"KATHERINE SOUTH","NT","0850"
"MATARANKA","NT","0852"
"TIMBER CREEK","NT","0852"
"BORROLOOLA","NT","0854"
"TENNANT CREEK","NT","0860"
"ALICE SPRINGS","NT","0870"
"ARALUEN","NT","0870"
"BRAITLING","NT","0870"
"CICCONE","NT","0870"
"CONNELLAN","NT","0870"
"DESERT SPRINGS","NT","0870"
"EAST SIDE","NT","0870"
"GILLEN","NT","0870"
"ROSS","NT","0870"
"SADADEEN","NT","0870"
"STUART","NT","0870"
