suburb,postcode,state,state_code
Darwin City,0800,Northern Territory,NT
Jingili,0810,Northern Territory,NT
Leanyer,0812,Northern Territory,NT
Stuart Park,0820,Northern Territory,NT
Rakula,0822,Northern Territory,NT
Berrimah,0828,Northern Territory,NT
Pinelands (NT),0829,Northern Territory,NT
Driver,0830,Northern Territory,NT
Rosebery (NT),0832,Northern Territory,NT
Virginia (NT),0834,Northern Territory,NT
Howard Springs,0835,Northern Territory,NT
Girraween (NT),0836,Northern Territory,NT
Noonamah,0837,Northern Territory,NT
Berry Springs,0838,Northern Territory,NT
Coolalinga,0839,Northern Territory,NT
Dundee Forest,0840,Northern Territory,NT
Darwin River,0841,Northern Territory,NT
Batchelor,0845,Northern Territory,NT
Adelaide River,0846,Northern Territory,NT
Pine Creek (NT),0847,Northern Territory,NT
Katherine South,0850,Northern Territory,NT
Pellew Islands,0852,Northern Territory,NT
Tindal,0853,Northern Territory,NT
Borroloola,0854,Northern Territory,NT
Tennant Creek,0860,Northern Territory,NT
Pamayu,0862,Northern Territory,NT
The Gap (NT),0870,Northern Territory,NT
Anangu Pitjantjatjara Yankunytjatjara,0872,South Australia,SA
Amoonguna,0873,Northern Territory,NT
Undoolya,0874,Northern Territory,NT
Flynn (NT),0875,Northern Territory,NT
Nhulunbuy,0880,Northern Territory,NT
Alyangula,0885,Northern Territory,NT
Jabiru,0886,Northern Territory,NT
Sydney,2000,New South Wales,NSW
Ultimo,2007,New South Wales,NSW
Darlington (Sydney - NSW),2008,New South Wales,NSW
Pyrmont,2009,New South Wales,NSW
Darlinghurst,2010,New South Wales,NSW
Potts Point,2011,New South Wales,NSW
Alexandria,2015,New South Wales,NSW
Redfern,2016,New South Wales,NSW
Zetland,2017,New South Wales,NSW
Rosebery (NSW),2018,New South Wales,NSW
Botany,2019,New South Wales,NSW
Mascot,2020,New South Wales,NSW
Paddington (NSW),2021,New South Wales,NSW
Bondi Junction,2022,New South Wales,NSW
Bellevue Hill,2023,New South Wales,NSW
Waverley (NSW),2024,New South Wales,NSW
Woollahra,2025,New South Wales,NSW
Bondi Beach,2026,New South Wales,NSW
Edgecliff,2027,New South Wales,NSW
Double Bay,2028,New South Wales,NSW
Rose Bay (NSW),2029,New South Wales,NSW
Dover Heights,2030,New South Wales,NSW
Randwick,2031,New South Wales,NSW
Kingsford (NSW),2032,New South Wales,NSW
Kensington (NSW),2033,New South Wales,NSW
Coogee (NSW),2034,New South Wales,NSW
Maroubra,2035,New South Wales,NSW
Matraville,2036,New South Wales,NSW
Glebe (NSW),2037,New South Wales,NSW
Annandale (NSW),2038,New South Wales,NSW
Rozelle,2039,New South Wales,NSW
Leichhardt (NSW),2040,New South Wales,NSW
Birchgrove,2041,New South Wales,NSW
Newtown (NSW),2042,New South Wales,NSW
Erskineville,2043,New South Wales,NSW
St Peters (NSW),2044,New South Wales,NSW
Haberfield,2045,New South Wales,NSW
Chiswick,2046,New South Wales,NSW
Drummoyne,2047,New South Wales,NSW
Stanmore (NSW),2048,New South Wales,NSW
Petersham,2049,New South Wales,NSW
Camperdown (NSW),2050,New South Wales,NSW
North Sydney,2060,New South Wales,NSW
Kirribilli,2061,New South Wales,NSW
Cammeray,2062,New South Wales,NSW
Northbridge (NSW),2063,New South Wales,NSW
Artarmon,2064,New South Wales,NSW
Greenwich,2065,New South Wales,NSW
Lane Cove North,2066,New South Wales,NSW
Chatswood,2067,New South Wales,NSW
North Willoughby,2068,New South Wales,NSW
Roseville,2069,New South Wales,NSW
Lindfield,2070,New South Wales,NSW
East Killara,2071,New South Wales,NSW
Gordon (NSW),2072,New South Wales,NSW
Pymble,2073,New South Wales,NSW
South Turramurra,2074,New South Wales,NSW
St Ives (NSW),2075,New South Wales,NSW
North Wahroonga,2076,New South Wales,NSW
Hornsby,2077,New South Wales,NSW
Mount Colah,2079,New South Wales,NSW
Mount Kuring-Gai,2080,New South Wales,NSW
Berowra,2081,New South Wales,NSW
Berowra Waters,2082,New South Wales,NSW
Brooklyn (NSW),2083,New South Wales,NSW
Duffys Forest,2084,New South Wales,NSW
Belrose,2085,New South Wales,NSW
Frenchs Forest,2086,New South Wales,NSW
Forestville (NSW),2087,New South Wales,NSW
Mosman,2088,New South Wales,NSW
Kurraba Point,2089,New South Wales,NSW
Cremorne Point,2090,New South Wales,NSW
Seaforth (NSW),2092,New South Wales,NSW
Balgowlah,2093,New South Wales,NSW
Fairlight,2094,New South Wales,NSW
Manly (NSW),2095,New South Wales,NSW
Curl Curl,2096,New South Wales,NSW
Collaroy (NSW),2097,New South Wales,NSW
Dee Why,2099,New South Wales,NSW
Allambie Heights,2100,New South Wales,NSW
North Narrabeen,2101,New South Wales,NSW
Warriewood,2102,New South Wales,NSW
Mona Vale,2103,New South Wales,NSW
Bayview (NSW),2104,New South Wales,NSW
Church Point,2105,New South Wales,NSW
Newport (NSW),2106,New South Wales,NSW
Bilgola Beach,2107,New South Wales,NSW
Palm Beach (NSW),2108,New South Wales,NSW
Hunters Hill,2110,New South Wales,NSW
Gladesville,2111,New South Wales,NSW
Ryde,2112,New South Wales,NSW
North Ryde,2113,New South Wales,NSW
West Ryde,2114,New South Wales,NSW
Ermington,2115,New South Wales,NSW
Rydalmere,2116,New South Wales,NSW
Dundas Valley,2117,New South Wales,NSW
Carlingford,2118,New South Wales,NSW
Beecroft,2119,New South Wales,NSW
Thornleigh,2120,New South Wales,NSW
Epping (NSW),2121,New South Wales,NSW
Eastwood (NSW),2122,New South Wales,NSW
West Pennant Hills,2125,New South Wales,NSW
Cherrybrook,2126,New South Wales,NSW
Newington (NSW),2127,New South Wales,NSW
Silverwater (Parramatta - NSW),2128,New South Wales,NSW
Summer Hill (Inner West - NSW),2130,New South Wales,NSW
Ashfield (NSW),2131,New South Wales,NSW
Croydon (NSW),2132,New South Wales,NSW
Croydon Park (NSW),2133,New South Wales,NSW
Burwood (NSW),2134,New South Wales,NSW
Strathfield (NSW),2135,New South Wales,NSW
Strathfield South,2136,New South Wales,NSW
Cabarita (NSW),2137,New South Wales,NSW
Rhodes,2138,New South Wales,NSW
Homebush (NSW),2140,New South Wales,NSW
Lidcombe,2141,New South Wales,NSW
Clyde (NSW),2142,New South Wales,NSW
Potts Hill,2143,New South Wales,NSW
Auburn (NSW),2144,New South Wales,NSW
Wentworthville,2145,New South Wales,NSW
Toongabbie (NSW),2146,New South Wales,NSW
Seven Hills (NSW),2147,New South Wales,NSW
Blacktown,2148,New South Wales,NSW
Harris Park,2150,New South Wales,NSW
North Parramatta,2151,New South Wales,NSW
Northmead,2152,New South Wales,NSW
Baulkham Hills,2153,New South Wales,NSW
Castle Hill (NSW),2154,New South Wales,NSW
North Kellyville,2155,New South Wales,NSW
Kenthurst,2156,New South Wales,NSW
Glenorie,2157,New South Wales,NSW
Dural (Hornsby - NSW),2158,New South Wales,NSW
Arcadia (NSW),2159,New South Wales,NSW
Merrylands,2160,New South Wales,NSW
Yennora,2161,New South Wales,NSW
Chester Hill,2162,New South Wales,NSW
Villawood,2163,New South Wales,NSW
Smithfield (NSW),2164,New South Wales,NSW
Fairfield East,2165,New South Wales,NSW
Canley Heights,2166,New South Wales,NSW
Glenfield (NSW),2167,New South Wales,NSW
Green Valley (NSW),2168,New South Wales,NSW
Casula,2170,New South Wales,NSW
West Hoxton,2171,New South Wales,NSW
Pleasure Point,2172,New South Wales,NSW
Wattle Grove (NSW),2173,New South Wales,NSW
Edmondson Park,2174,New South Wales,NSW
